E=0.370,Desorbed=489194889883.46704,ExportTimes=[0.001, 0.002, 0.0025, 0.005, 0.0075, 0.01, 0.025, 0.05, 0.1]
0.000000000000000000e+00,1.575630494074431917e+22
6.250000000000000130e-05,1.575641597236055795e+22
1.250000000000000026e-04,1.575671549061866350e+22
1.875000000000000039e-04,1.575711899875753853e+22
2.500000000000000052e-04,1.575752945003520223e+22
3.125000000000000065e-04,1.575787430974740811e+22
3.750000000000000078e-04,1.575812234893666235e+22
4.375000000000000091e-04,1.575827789491985606e+22
5.000000000000000104e-04,1.575836384237829751e+22
5.625000000000000659e-04,1.575840609471954734e+22
6.250000000000000130e-04,1.575842495625767053e+22
6.874999999999999601e-04,1.575843266243840495e+22
7.500000000000000156e-04,1.575843549854044887e+22
8.125000000000000711e-04,1.575843648464101153e+22
8.750000000000000182e-04,1.575843683835625603e+22
9.374999999999999653e-04,1.575843697757899876e+22
1.000000000000000021e-03,1.575843703943204333e+22
1.062500000000000076e-03,1.575843707059188636e+22
1.125000000000000132e-03,1.575843708819832884e+22
1.187499999999999971e-03,1.575843709914696385e+22
1.250000000000000026e-03,1.575843710648653237e+22
1.312500000000000082e-03,1.575843711169234102e+22
1.374999999999999920e-03,1.575843711553914903e+22
1.437499999999999976e-03,1.575843711846441812e+22
1.500000000000000031e-03,1.575843712073090256e+22
