t(s),solute flux surface 1 (H m-2 s-1)
1e-06,-1598630328051.711
2.1000000000000002e-06,-35186365712815.03
3.3100000000000005e-06,-54495433098568.6
4.641000000000001e-06,-70082768089627.734
6.105100000000001e-06,-84028861167640.97
7.715610000000002e-06,-97120724209160.03
9.487171000000002e-06,-109755569964200.48
1.1435888100000002e-05,-122169864333285.9
1.3579476910000003e-05,-134520930095202.0
1.5937424601000003e-05,-146922457643538.34
1.8531167061100006e-05,-159462158254403.97
2.1384283767210007e-05,-172211423358986.9
2.452271214393101e-05,-185231010496911.5
2.7974983358324114e-05,-198574590888942.12
3.177248169415653e-05,-212291071879873.28
3.5949729863572185e-05,-226426181179497.22
4.0544702849929404e-05,-241023587521413.97
4.5544702849929404e-05,-255971591828802.44
5.05447028499294e-05,-270126913751732.6
5.55447028499294e-05,-283600542326422.3
6.05447028499294e-05,-296480271613861.9
6.55447028499294e-05,-308836857704294.8
7.05447028499294e-05,-320728249860442.06
7.55447028499294e-05,-332202576096871.06
8.05447028499294e-05,-343300299316924.94
8.55447028499294e-05,-354055806674869.8
9.05447028499294e-05,-364498602668596.94
9.55447028499294e-05,-374654226294444.7
0.0001005447028499294,-390168763678071.25
0.0001055447028499294,-406633752057534.75
0.0001105447028499294,-421963680499559.6
0.0001155447028499294,-436880881171439.56
0.0001205447028499294,-451521558233995.4
0.0001255447028499294,-465945333471343.25
0.00013054470284992942,-480186350227569.75
0.00013554470284992944,-494267311629629.6
0.00014054470284992945,-508204819912788.6
0.00014554470284992946,-522011818667043.7
0.00015054470284992948,-535698859030579.56
0.0001555447028499295,-549274820237740.75
0.0001605447028499295,-562747350769282.2
0.00016554470284992951,-576123154964331.8
0.00017054470284992953,-589408188647385.2
0.00017554470284992954,-602607798301798.5
0.00018054470284992955,-615726823625582.6
0.00018554470284992957,-628769675408230.5
0.00019054470284992958,-641740396192896.0
0.0001955447028499296,-654642708584810.8
0.0002005447028499296,-667480054447834.2
0.00020554470284992962,-680253130442199.1
0.00021054470284992963,-692965632484623.0
0.00021554470284992965,-705620458151170.4
0.00022054470284992966,-718220246476571.0
0.00022554470284992967,-730767446535539.6
0.00023054470284992969,-743264346939892.6
0.0002355447028499297,-755713094657432.8
0.0002405447028499297,-768115709213460.5
0.0002455447028499297,-780474094284736.4
0.00025054470284992974,-792790047554373.9
0.00025554470284992975,-805065269272324.5
0.00026054470284992976,-817301369803684.0
0.0002655447028499298,-829499876346540.6
0.0002705447028499298,-841662238952861.4
0.0002755447028499298,-853789835950649.8
0.0002805447028499298,-865883978855397.0
0.00028554470284992983,-877945916829133.4
0.00029054470284992984,-889976840741635.0
0.00029554470284992986,-901977886884680.0
0.00030054470284992987,-913950140370816.4
0.0003055447028499299,-925894638256516.5
0.0003105447028499299,-937812372412093.6
0.0003155447028499299,-949704292169312.1
0.0003205447028499299,-961571306764553.6
0.00032554470284992993,-973414287597911.5
0.00033054470284992995,-985234070325089.6
0.00033554470284992996,-997031456800737.2
0.00034054470284993,-1008807216878341.8
0.00034554470284993,-1020562090088525.2
0.00035054470284993,-1032296787200224.1
0.00035554470284993,-1044011991674722.9
