t(s),solute flux surface 1 (H m-2 s-1)
1e-06,-1598630328051.711
2.1000000000000002e-06,-35186365712815.03
3.3100000000000005e-06,-54495433098568.6
4.641000000000001e-06,-70082768089627.734
6.105100000000001e-06,-84028861167640.97
7.715610000000002e-06,-97120724209160.03
9.487171000000002e-06,-109755569964200.48
1.1435888100000002e-05,-122169864333285.9
1.3579476910000003e-05,-134520930095202.0
1.5937424601000003e-05,-146922457643538.34
1.8531167061100006e-05,-159462158254403.97
2.1384283767210007e-05,-172211423358986.9
2.452271214393101e-05,-185231010496911.5
2.7974983358324114e-05,-198574590888942.12
3.177248169415653e-05,-212291071879873.28
3.5949729863572185e-05,-226426181179497.22
4.0544702849929404e-05,-241023587521413.97
4.5544702849929404e-05,-255971591828802.44
5.05447028499294e-05,-270126913751732.6
5.55447028499294e-05,-283600542326422.3
6.05447028499294e-05,-296480271613861.9
6.55447028499294e-05,-308836857704294.8
7.05447028499294e-05,-320728249860442.06
7.55447028499294e-05,-332202576096871.06
8.05447028499294e-05,-343300299316924.94
8.55447028499294e-05,-354055806674869.8
9.05447028499294e-05,-364498602668600.9
9.55447028499294e-05,-374654237186291.94
0.0001005447028499294,-399451132686576.1
0.0001055447028499294,-427913660084759.9
0.0001105447028499294,-454183748080449.06
0.0001155447028499294,-480057581760193.25
0.0001205447028499294,-505832744425285.94
0.0001255447028499294,-531621951007384.1
0.00013054470284992942,-557480145602954.56
0.00013554470284992944,-583438187721964.9
0.00014054470284992945,-609515170527800.8
0.00014554470284992946,-635723803450891.9
0.00015054470284992948,-662073058029948.2
0.0001555447028499295,-688569584060416.0
0.0001605447028499295,-715218518644933.0
0.00016554470284992951,-742023973011765.4
0.00017054470284992953,-768989338286268.0
0.00017554470284992954,-796117484552713.4
0.00018054470284992955,-823410894555306.0
0.00018554470284992957,-850871756013352.6
0.00019054470284992958,-878502026894660.5
0.0001955447028499296,-906303482662660.9
0.0002005447028499296,-934277751133826.2
0.00020554470284992962,-953319826735746.1
0.00021054470284992963,-974098343013314.0
0.00021554470284992965,-994795341142653.0
0.00022054470284992966,-1015189201563120.5
0.00022554470284992967,-1035210048884629.9
0.00023054470284992969,-1054830261769997.8
0.0002355447028499297,-1074038828931965.5
0.0002405447028499297,-1092832639283146.8
0.0002455447028499297,-1111212837812186.8
0.00025054470284992974,-1129183072253529.5
0.00025554470284992975,-1146748557976660.5
0.00026054470284992976,-1163915537322347.5
0.0002655447028499298,-1180690945681322.5
0.0002705447028499298,-1197082193530114.0
0.0002755447028499298,-1213097017306537.2
0.0002805447028499298,-1228743373206903.5
0.00028554470284992983,-1244029358930718.2
0.00029054470284992984,-1258963154343975.2
0.00029554470284992986,-1273552975407137.5
0.00030054470284992987,-1287807037710477.0
0.0003055447028499299,-1301733527166951.8
0.0003105447028499299,-1315340576186835.2
0.0003155447028499299,-1328636244139696.8
0.0003205447028499299,-1341628501250729.8
0.00032554470284992993,-1354325215286667.2
0.00033054470284992995,-1366734140551286.2
0.00033554470284992996,-1378862908810008.5
0.00034054470284993,-1390719021851853.8
0.00034554470284993,-1402309845446331.5
0.00035054470284993,-1413642604499785.8
