# Energy(J),Fluence(-)
5.399999999999999939e-02,0.000000000000000000e+00
7.799999999999999989e-02,0.000000000000000000e+00
1.239999999999999991e-01,5.319778170409360352e+12
1.710000000000000131e-01,1.825427297219618359e+13
2.159999999999999976e-01,1.085020175385900586e+13
2.610000000000000098e-01,6.066971745247150000e+13
3.059999999999999942e-01,5.908239157717410938e+13
3.509999999999999787e-01,8.153608549209604688e+13
