E=0.185,Desorbed=1542159612175.7188,ExportTimes=[0.001, 0.002, 0.0025, 0.005, 0.0075, 0.01, 0.025, 0.05, 0.1]
0.000000000000000000e+00,1.575065269503537657e+22
6.250000000000000130e-05,1.575109754977086394e+22
1.250000000000000026e-04,1.575229465175360379e+22
1.875000000000000039e-04,1.575389038642034062e+22
2.500000000000000052e-04,1.575547005661449132e+22
3.125000000000000065e-04,1.575673200005244518e+22
3.750000000000000078e-04,1.575757306752297180e+22
4.375000000000000091e-04,1.575804973339512930e+22
5.000000000000000104e-04,1.575828238458019224e+22
5.625000000000000659e-04,1.575838125372980226e+22
6.250000000000000130e-04,1.575841871389027153e+22
6.874999999999999601e-04,1.575843169610038352e+22
7.500000000000000156e-04,1.575843559738544279e+22
8.125000000000000711e-04,1.575843665366885597e+22
8.750000000000000182e-04,1.575843695452638885e+22
9.374999999999999653e-04,1.575843705433080044e+22
1.000000000000000021e-03,1.575843709428794864e+22
1.062500000000000076e-03,1.575843711348383731e+22
1.125000000000000132e-03,1.575843712423163016e+22
1.187499999999999971e-03,1.575843713099366819e+22
1.250000000000000026e-03,1.575843713561937104e+22
1.312500000000000082e-03,1.575843713897308828e+22
1.374999999999999920e-03,1.575843714150255768e+22
1.437499999999999976e-03,1.575843714346064544e+22
1.500000000000000031e-03,1.575843714500048978e+22
