t(s),solute flux surface 1 (H m-2 s-1)
1e-06,-1161147651711.905
2.1000000000000002e-06,-34148468145469.965
3.3100000000000005e-06,-53420540858539.58
4.641000000000001e-06,-68996820610027.6
6.105100000000001e-06,-82937216680088.52
7.715610000000002e-06,-96025441787866.94
9.487171000000002e-06,-108657691739913.06
1.1435888100000002e-05,-121070004414201.39
1.3579476910000003e-05,-133419487153368.73
1.5937424601000003e-05,-145819708500977.94
1.8531167061100006e-05,-158358304894888.84
2.1384283767210007e-05,-171106618887151.84
2.452271214393101e-05,-184125374532801.62
2.7974983358324114e-05,-197468219221892.9
3.177248169415653e-05,-211184042800790.16
3.5949729863572185e-05,-225318559790879.53
4.0544702849929404e-05,-239915428763220.56
4.559917313492235e-05,-255017070870623.94
5.115909044841459e-05,-270665287171108.84
5.727499949325605e-05,-286901738147028.0
6.400249944258165e-05,-303768326989278.75
7.140274938683982e-05,-321307514629126.9
7.954302432552381e-05,-339562585805140.25
8.84973267580762e-05,-358577879748899.7
9.834705943388383e-05,-378727725473250.25
0.00010918176537727222,-539973823150030.4
0.00012109994191499945,-729751561697555.2
0.0001342099361064994,-971367775158314.0
0.00014863092971714937,-1279522411397363.8
0.00016449402268886432,-1672122592358497.0
0.00018194342495775077,-2172219223455742.5
0.00020113776745352586,-2601212667812602.0
0.00022225154419887848,-3043187492817197.5
0.00024547669861876636,-3472907490699075.5
0.00027047669861876637,-3866455104118219.0
0.0002954766986187664,-4193888354648842.5
0.0003204766986187664,-4461123637794656.5
0.0003454766986187664,-4675477336191977.0
0.0003704766986187664,-4844536083624150.0
0.0003954766986187664,-4975515284976590.0
0.00042047669861876644,-5074936364328552.0
0.00044547669861876645,-5148501567173587.0
0.00047047669861876646,-5201084254426129.0
0.0004954766986187665,-5236781496485700.0
0.0005204766986187664,-5258995886777414.0
0.0005454766986187664,-5270526908735896.0
0.0005704766986187663,-5273660825084015.0
0.0005954766986187663,-5270253435183470.0
0.0006204766986187663,-5261803275825380.0
0.0006454766986187662,-5249514698917692.0
0.0006704766986187662,-5234351261054206.0
0.0006954766986187661,-5217080344285883.0
0.0007204766986187661,-5198310109168506.0
0.000745476698618766,-5178519893689124.0
0.000770476698618766,-5158085096972856.0
0.000795476698618766,-5137297473406340.0
0.0008204766986187659,-5116381637423725.0
0.0008454766986187659,-5095508457652197.0
0.0008704766986187658,-5074805908087994.0
0.0008954766986187658,-5054367846527311.0
0.0009204766986187657,-5034261107083491.0
0.0009454766986187657,-5014531223472719.0
0.0009704766986187657,-4995207041362227.0
0.0009954766986187656,-4976304430080320.0
0.0010204766986187657,-4957829264339286.0
0.0010454766986187657,-4939779814771702.0
0.0010704766986187658,-4922148659613029.0
0.0010954766986187659,-4904924208761694.0
0.001120476698618766,-4888091914237885.0
0.001145476698618766,-4871635226990909.0
0.001170476698618766,-4855536348794531.0
0.0011954766986187661,-4839776818683040.0
0.0012204766986187662,-4824337966088647.0
0.0012454766986187663,-4809201256682873.0
0.0012704766986187663,-4794348552122440.0
0.0012954766986187664,-4779762300851077.0
0.0013204766986187665,-4765425673970712.0
0.0013454766986187665,-4751322657461346.0
0.0013704766986187666,-4737438109969067.0
0.0013954766986187667,-4723757793622188.0
0.0014204766986187667,-4710268383890877.0
0.0014454766986187668,-4696957463357454.0
0.0014704766986187669,-4683813503363214.0
0.001495476698618767,-4670825836642988.0
0.001520476698618767,-4657984623509432.0
0.001545476698618767,-4645280813609139.0
0.0015704766986187671,-4632706104821374.0
0.0015954766986187672,-4620252900598186.0
0.0016204766986187673,-4607914266704014.0
0.0016454766986187673,-4595683888118537.0
0.0016704766986187674,-4583556026726170.0
0.0016954766986187675,-4571525480132921.0
0.0017204766986187675,-4559587542021755.0
0.0017454766986187676,-4547737964212633.0
0.0017704766986187676,-4535972920586946.0
0.0017954766986187677,-4524288972952304.0
0.0018204766986187678,-4512683038898856.0
0.0018454766986187678,-4501152361641569.0
0.001870476698618768,-4489694481818458.5
0.001895476698618768,-4478307211199714.5
0.001920476698618768,-4466988608250027.0
0.001945476698618768,-4455736955460857.0
0.001970476698618768,-4444550738368659.5
0.001995476698618768,-4433428626182611.5
0.0020204766986187677,-4422369453931929.5
0.002047976698618768,-4410278092429705.5
0.0020782266986187677,-4397065245124023.5
0.002111501698618768,-4382635553825054.0
0.0021481041986187678,-4366887623349181.0
0.002188366948618768,-4349714216143837.0
0.002232655973618768,-4331002661704211.0
0.0022813739011187683,-4310635539297605.0
0.0023349636213687683,-4288491701673457.5
0.0023939123136437683,-4264447714282776.0
0.0024587558751462684,-4238379787907961.5
0.0025300837927990185,-4210166280474085.0
0.0026085445022170435,-4179690834772679.0
0.002694851282576871,-4146846199834739.0
0.0027897887409726813,-4111538753244706.5
0.002894219945208073,-4073693697967571.0
0.0030090942698670032,-4033260849269290.0
0.0031354560269918267,-3990220855641838.0
0.003274453959829133,-3944591614191803.0
0.0034273516859501694,-3896434550348165.0
0.0035955391846833095,-3845860340050430.0
0.0037805454332897636,-3793033571152034.5
0.003984052306756863,-3738175780832961.5
0.0042079098675706725,-3681566284756369.5
0.004454153184465863,-3623540247603633.5
0.004725020833050573,-3564483549304137.0
0.005022975246493754,-3504824188664573.0
0.005350725101281253,-3445020236654617.5
0.005711249941547502,-3385544694575002.0
0.006107827265840376,-3326867996852812.5
0.006544062322562537,-3269439277451442.5
0.0070239208849569145,-3213667831420896.5
0.007523920884956915,-3162423776845166.5
0.008023920884956915,-3117051962166169.5
0.008523920884956916,-3076703634627051.0
0.009023920884956916,-3040661252597934.0
0.009523920884956917,-3008318913182762.5
0.010023920884956917,-2979165113704300.0
0.010523920884956918,-2952767853943098.0
0.011023920884956918,-2928761910919570.0
0.011523920884956919,-2906838057023837.0
0.012023920884956919,-2886733977990844.5
0.01252392088495692,-2868226655094371.0
0.01302392088495692,-2851125994844967.5
0.01352392088495692,-2835269513096406.0
0.01402392088495692,-2820517904859703.5
0.014523920884956921,-2806751354935816.5
0.015023920884956922,-2793866466011725.0
0.015523920884956922,-2781773700213859.0
0.01602392088495692,-2770395246818032.0
0.01652392088495692,-2759663243464674.0
0.01702392088495692,-2749518290289292.5
0.017523920884956922,-2739908206758488.0
0.018023920884956923,-2730786989723764.5
0.018523920884956923,-2722113938380453.5
0.019023920884956923,-2713852917680053.5
0.019523920884956924,-2705971736934802.0
0.020023920884956924,-2698441624165516.5
0.020523920884956925,-2691236780334077.5
0.021023920884956925,-2684334000236641.0
0.021523920884956926,-2677712349193249.0
0.022023920884956926,-2671352886498481.5
0.022523920884956927,-2665238428171111.5
0.023023920884956927,-2659353342798956.5
0.023523920884956927,-2653683375358226.5
0.024023920884956928,-2648215494651122.0
0.02452392088495693,-2642937760862810.0
0.02502392088495693,-2637839210176640.0
0.02552392088495693,-2632909753995339.0
0.02602392088495693,-2628140090637447.5
0.02652392088495693,-2623521627743124.0
0.02702392088495693,-2619046413885939.5
0.02752392088495693,-2614707078164425.5
0.02802392088495693,-2610496776650332.5
0.028523920884956932,-2606409144828383.5
0.029023920884956932,-2602438255231768.0
0.029523920884956933,-2598578579604970.0
0.030023920884956933,-2594824955047579.0
0.030523920884956934,-2591172553629253.0
0.031023920884956934,-2587616855069297.5
0.03152392088495693,-2584153622120267.5
0.03202392088495693,-2580778878333510.5
0.03252392088495693,-2577488887937148.0
0.03302392088495693,-2574280137583874.5
0.03352392088495693,-2571149319786250.5
0.03402392088495693,-2568093317819643.0
0.034523920884956934,-2565109191981426.0
0.035023920884956934,-2562194167012930.5
0.035523920884956935,-2559345620623779.0
0.036023920884956935,-2556561072954462.0
0.036523920884956936,-2553838176917838.5
0.037023920884956936,-2551174709321949.5
0.037523920884956936,-2548568562696342.5
0.03802392088495694,-2546017737764899.5
0.03852392088495694,-2543520336498796.5
0.03902392088495694,-2541074555700092.0
0.03952392088495694,-2538678681062957.0
0.04002392088495694,-2536331081675460.0
0.04052392088495694,-2534030204925142.0
0.04102392088495694,-2531774571769299.0
0.04152392088495694,-2529562772340097.5
0.04202392088495694,-2527393461862390.0
0.04252392088495694,-2525265356839667.0
0.04302392088495694,-2523177231526740.0
0.04352392088495694,-2521127914612734.5
0.04402392088495694,-2519116286141866.0
0.04452392088495694,-2517141274638074.5
0.04502392088495694,-2515201854409348.5
0.045523920884956944,-2513297043030764.0
0.046023920884956944,-2511425898986617.0
0.046523920884956944,-2509587519465961.5
0.047023920884956945,-2507781038290707.0
0.047523920884956945,-2506005623978939.5
0.048023920884956946,-2504260477915069.5
0.048523920884956946,-2502544832651991.5
0.04902392088495695,-2500857950297957.0
0.04952392088495695,-2499199121010991.5
0.05002392088495695,-2497567661568429.5
0.05052392088495695,-2495962914045557.5
0.05102392088495695,-2494384244542029.5
0.05152392088495695,-2492831042007137.0
0.05202392088495695,-2491302717119229.0
0.05252392088495695,-2489798701232635.0
0.05302392088495695,-2488318445386159.5
0.05352392088495695,-2486861419368954.0
0.05402392088495695,-2485427110831851.5
0.05452392088495695,-2484015024454988.0
0.05502392088495695,-2482624681161338.5
0.05552392088495695,-2481255617363605.5
0.05602392088495695,-2479907384271906.0
0.05652392088495695,-2478579547215408.5
0.057023920884956954,-2477271685018236.5
0.057523920884956954,-2475983389406022.0
0.058023920884956955,-2474714264435325.0
0.058523920884956955,-2473463925964468.5
0.059023920884956955,-2472232001141103.0
0.059523920884956956,-2471018127931329.5
0.060023920884956956,-2469821954656468.5
0.06052392088495696,-2468643139570448.5
0.06102392088495696,-2467481350437924.5
0.06152392088495696,-2466336264159388.0
0.06202392088495696,-2465207566396277.0
0.06252392088495695,-2464094951224395.5
0.06302392088495695,-2462998120797505.5
0.06352392088495695,-2461916785036716.0
0.06402392088495695,-2460850661326412.5
0.06452392088495695,-2459799474235135.0
0.06502392088495695,-2458762955238742.0
0.06552392088495695,-2457740842465773.5
0.06602392088495695,-2456732880450303.0
0.06652392088495696,-2455738819901882.5
0.06702392088495696,-2454758417477687.5
0.06752392088495696,-2453791435575807.0
0.06802392088495696,-2452837642134179.0
0.06852392088495696,-2451896810429083.5
0.06902392088495696,-2450968718905643.5
0.06952392088495696,-2450053150990675.5
0.07002392088495696,-2449149894930734.5
0.07052392088495696,-2448258743636477.0
0.07102392088495696,-2447379494525033.5
0.07152392088495696,-2446511949379628.5
0.07202392088495696,-2445655914202869.0
0.07252392088495696,-2444811199092971.0
0.07302392088495696,-2443977618110201.0
0.07352392088495696,-2443154989160835.5
0.07402392088495696,-2442343133873446.0
0.07452392088495696,-2441541877496380.5
0.07502392088495696,-2440751048784474.5
0.07552392088495696,-2439970479904863.5
0.07602392088495696,-2439200006328824.5
0.07652392088495696,-2438439466748463.5
0.07702392088495696,-2437688702975791.0
0.07752392088495696,-2436947559865884.0
0.07802392088495697,-2436215885227890.0
0.07852392088495697,-2435493529749073.0
0.07902392088495697,-2434780346915029.0
0.07952392088495697,-2434076192939822.5
0.08002392088495697,-2433380926690715.5
0.08052392088495697,-2432694409622858.0
0.08102392088495697,-2432016505719079.0
0.08152392088495697,-2431347081415520.5
0.08202392088495697,-2430686005551630.5
0.08252392088495697,-2430033149302542.5
0.08302392088495697,-2429388386125663.0
0.08352392088495697,-2428751591713424.0
0.08402392088495697,-2428122643929115.0
0.08452392088495697,-2427501422764576.0
0.08502392088495697,-2426887810285418.5
0.08552392088495697,-2426281690591385.0
0.08602392088495697,-2425682949762617.0
0.08652392088495697,-2425091475822577.5
0.08702392088495697,-2424507158685210.0
0.08752392088495697,-2423929890125265.0
0.08802392088495697,-2423359563730134.0
0.08852392088495697,-2422796074867079.0
0.08902392088495698,-2422239320638963.5
0.08952392088495698,-2421689199854782.0
0.09002392088495698,-2421145612985981.0
0.09052392088495698,-2420608462140377.5
0.09102392088495698,-2420077651023434.5
0.09152392088495698,-2419553084910404.0
0.09202392088495698,-2419034670612194.5
0.09252392088495698,-2418522316446891.5
0.09302392088495698,-2418015932205081.5
0.09352392088495698,-2417515429127705.5
0.09402392088495698,-2417020719876855.0
0.09452392088495698,-2416531718501518.0
0.09502392088495698,-2416048340422117.0
0.09552392088495698,-2415570502392842.5
0.09602392088495698,-2415098122485471.5
0.09652392088495698,-2414631120066124.5
0.09702392088495698,-2414169415763447.0
0.09752392088495698,-2413712931452218.0
0.09802392088495698,-2413261590224291.5
0.09852392088495698,-2412815316374571.0
0.09902392088495698,-2412374035372226.5
0.09952392088495698,-2411937673846014.0
0.1,-2411526587400613.5
