t(s),solute flux surface 1 (H m-2 s-1)
1e-06,-1161147651711.905
2.1000000000000002e-06,-34148468145469.965
3.3100000000000005e-06,-53420540858539.58
4.641000000000001e-06,-68996820610027.6
6.105100000000001e-06,-82937216680088.52
7.715610000000002e-06,-96025441787866.94
9.487171000000002e-06,-108657691739913.06
1.1435888100000002e-05,-121070004414201.39
1.3579476910000003e-05,-133419487153368.73
1.5937424601000003e-05,-145819708500977.94
1.8531167061100006e-05,-158358304894888.84
2.1384283767210007e-05,-171106618887151.84
2.452271214393101e-05,-184125374532801.62
2.7974983358324114e-05,-197468219221892.9
3.177248169415653e-05,-211184042800790.16
3.5949729863572185e-05,-225318559790879.53
4.0544702849929404e-05,-239915428763220.56
4.559917313492235e-05,-255017070870623.94
5.115909044841459e-05,-270665287171108.84
5.727499949325605e-05,-286901738147028.0
6.400249944258165e-05,-303768326989278.75
7.140274938683982e-05,-321307514629126.9
7.954302432552381e-05,-339562585805140.25
8.84973267580762e-05,-358577879748899.75
9.834705943388383e-05,-378414805413427.94
0.00010918176537727222,-404296685112440.25
0.00012109994191499945,-430505937833097.9
0.0001342099361064994,-457942675448763.6
0.00014863092971714937,-486812207393197.0
0.00016449402268886432,-517257761127462.1
0.00018194342495775077,-549411433357752.0
0.00020113776745352586,-583406592921442.8
0.00022225154419887848,-619374192699086.0
0.00024547669861876636,-657462160938056.6
0.00027047669861876637,-696991610056069.9
0.0002954766986187664,-735245824439241.2
0.0003204766986187664,-772376905652548.5
0.0003454766986187664,-808509594541393.9
0.0003704766986187664,-843747517168399.4
0.0003954766986187664,-878177702478903.2
0.00042047669861876644,-911873925270058.9
0.00044547669861876645,-944899227287368.8
0.00047047669861876646,-977307850837217.4
0.0004954766986187665,-1009146744782106.2
0.0005204766986187664,-1040456754233355.2
0.0005454766986187664,-1071273572806961.8
0.0005704766986187663,-1101628514155868.4
0.0005954766986187663,-1131549144130987.8
0.0006204766986187663,-1161059804092785.8
0.0006454766986187662,-1190182048168848.0
0.0006704766986187662,-1218935011680104.8
0.0006954766986187661,-1247335723879524.5
0.0007204766986187661,-1275399375164134.2
0.000745476698618766,-1303139546684644.8
0.000770476698618766,-1330568408612042.8
0.000795476698618766,-1357696892052005.2
0.0008204766986187659,-1384534838632308.8
0.0008454766986187659,-1411091131050068.5
0.0008704766986187658,-1437373807272256.8
0.0008954766986187658,-1463390160641753.5
0.0009204766986187657,-1489146827763062.8
0.0009454766986187657,-1514649865763041.2
0.0009704766986187657,-1539904820278470.5
0.0009954766986187656,-1564916785328292.0
0.0010204766986187657,-1588729560269092.2
0.0010454766986187657,-1610190659197645.0
0.0010704766986187658,-1630072163568790.2
0.0010954766986187659,-1648669915967381.8
0.001120476698618766,-1666182490634555.0
0.001145476698618766,-1682761043165129.0
0.001170476698618766,-1698526643763002.2
0.0011954766986187661,-1713578768964624.2
0.0012204766986187662,-1728000349564637.0
0.0012454766986187663,-1741861155406619.8
0.0012704766986187663,-1755220247354469.5
0.0012954766986187664,-1768127845311557.5
0.0013204766986187665,-1780626799655506.8
0.0013454766986187665,-1792753776748381.0
0.0013704766986187666,-1804540229100420.0
0.0013954766986187667,-1816013198117898.5
0.0014204766986187667,-1827195983688697.8
0.0014454766986187668,-1838108706012511.0
0.0014704766986187669,-1848768779152391.0
0.001495476698618767,-1859191311566074.5
0.001520476698618767,-1869389445792390.2
0.001545476698618767,-1879374647148375.0
0.0015704766986187671,-1889156949496935.5
0.0015954766986187672,-1898745164740121.5
0.0016204766986187673,-1908147061571003.2
0.0016454766986187673,-1917369518093220.5
0.0016704766986187674,-1926418652198892.8
0.0016954766986187675,-1935299932974280.2
0.0017204766986187675,-1944018275891210.2
0.0017454766986187676,-1952578124144137.5
0.0017704766986187676,-1960983518122675.0
0.0017954766986187677,-1969238154719642.0
0.0018204766986187678,-1977345437934865.5
0.0018454766986187678,-1985308522013589.0
0.001870476698618768,-1993130348183259.2
0.001895476698618768,-2000813675906105.8
0.001920476698618768,-2008361109428879.5
0.001945476698618768,-2015775120301558.8
0.001970476698618768,-2023058066449873.0
0.001995476698618768,-2030212208289461.8
0.0020204766986187677,-2037239722321210.0
0.002047976698618768,-2044819643012394.0
0.0020782266986187677,-2052979131040941.2
0.002111501698618768,-2061743227433472.2
0.0021481041986187678,-2071133924576202.5
0.002188366948618768,-2081169088074126.0
0.002232655973618768,-2091861224208088.8
0.0022813739011187683,-2103216096961922.2
0.0023349636213687683,-2115231209042686.2
0.0023939123136437683,-2127894174172170.5
0.0024587558751462684,-2141181023214278.2
0.0025300837927990185,-2155054504043442.2
0.0026085445022170435,-2169462453685147.5
0.002694851282576871,-2184336340187654.8
0.0027897887409726813,-2199590089537085.8
0.002894219945208073,-2215119328334939.0
0.0030090942698670032,-2230801184226373.5
0.0031354560269918267,-2246494791264185.8
0.003274453959829133,-2262042644266856.0
0.0034273516859501694,-2277272931710796.0
0.0035955391846833095,-2292002947258688.5
0.0037805454332897636,-2306043631653228.0
0.003984052306756863,-2319205226053157.0
0.0042079098675706725,-2331303923655449.0
0.004454153184465863,-2342169290671318.5
0.004725020833050573,-2351652098345082.5
0.005022975246493754,-2359632077844636.5
0.005350725101281253,-2366024999448787.5
0.005711249941547502,-2370788409595689.5
0.006107827265840376,-2373925358958995.0
0.006544062322562537,-2375485541854801.0
0.0070239208849569145,-2375563452733099.5
0.007523920884956915,-2374406548720431.0
0.008023920884956915,-2372408029848585.5
0.008523920884956916,-2369857135212386.5
0.009023920884956916,-2366963571581629.5
0.009523920884956917,-2363878139240818.0
0.010023920884956917,-2360708101581922.5
0.010523920884956918,-2357528639090887.0
0.011023920884956918,-2354391381271233.0
0.011523920884956919,-2351330755881808.0
0.012023920884956919,-2348368706890934.0
0.01252392088495692,-2345518193264878.0
0.01302392088495692,-2342785776715671.0
0.01352392088495692,-2340173529277519.0
0.01402392088495692,-2337680433426186.5
0.014523920884956921,-2335303404312280.0
0.015023920884956922,-2333038030999477.5
0.015523920884956922,-2330879109355654.0
0.01602392088495692,-2328821020857170.0
0.01652392088495692,-2326857997940207.5
0.01702392088495692,-2324984306109106.5
0.017523920884956922,-2323194365441140.5
0.018023920884956923,-2321482828168146.0
0.018523920884956923,-2319844624822260.5
0.019023920884956923,-2318274988064564.0
0.019523920884956924,-2316769461016107.5
0.020023920884956924,-2315323894920007.5
0.020523920884956925,-2313934439864478.5
0.021023920884956925,-2312597531013809.0
0.021523920884956926,-2311309872316247.5
0.022023920884956926,-2310068418894198.0
0.022523920884956927,-2308870359104279.0
0.023023920884956927,-2307713096797081.0
0.023523920884956927,-2306594234256392.0
0.024023920884956928,-2305511555969386.5
0.02452392088495693,-2304463013473648.5
0.02502392088495693,-2303446711231940.0
0.02552392088495693,-2302460893651185.0
0.02602392088495693,-2301503933117817.5
0.02652392088495693,-2300574319113838.5
0.02702392088495693,-2299670648230904.0
0.02752392088495693,-2298791615140883.5
0.02802392088495693,-2297936004344899.5
0.028523920884956932,-2297102682722719.5
0.029023920884956932,-2296290592728723.0
0.029523920884956933,-2295498746261462.0
0.030023920884956933,-2294726219060901.5
0.030523920884956934,-2293972145657458.5
0.031023920884956934,-2293235714749343.0
0.03152392088495693,-2292516165032289.5
0.03202392088495693,-2291812781372159.0
0.03252392088495693,-2291124891360839.0
0.03302392088495693,-2290451862122973.0
0.03352392088495693,-2289793097458644.0
0.03402392088495693,-2289148035184192.5
0.034523920884956934,-2288516144736744.0
0.035023920884956934,-2287896924947446.0
0.035523920884956935,-2287289902029993.5
0.036023920884956935,-2286694627702488.5
0.036523920884956936,-2286110677495763.0
0.037023920884956936,-2285537649156545.0
0.037523920884956936,-2284975161217496.0
0.03802392088495694,-2284422851637950.0
0.03852392088495694,-2283880376588714.0
0.03902392088495694,-2283347409282541.0
0.03952392088495694,-2282823638943045.0
0.04002392088495694,-2282308769793683.5
0.04052392088495694,-2281802520174106.0
0.04102392088495694,-2281304621672172.0
0.04152392088495694,-2280814818357079.0
0.04202392088495694,-2280332866028700.0
0.04252392088495694,-2279858531553726.5
0.04302392088495694,-2279391592213885.0
0.04352392088495694,-2278931835127061.5
0.04402392088495694,-2278479056684741.5
0.04452392088495694,-2278033062043898.0
0.04502392088495694,-2277593664626980.0
0.045523920884956944,-2277160685693965.5
0.046023920884956944,-2276733953888714.0
0.046523920884956944,-2276313304871408.5
0.047023920884956945,-2275898580920743.5
0.047523920884956945,-2275489630604320.5
0.048023920884956946,-2275086308432483.0
0.048523920884956946,-2274688474567850.0
0.04902392088495695,-2274295994517328.0
0.04952392088495695,-2273908738877635.0
0.05002392088495695,-2273526583059460.0
0.05052392088495695,-2273149407064472.5
0.05102392088495695,-2272777095241000.5
0.05152392088495695,-2272409536091060.0
0.05202392088495695,-2272046622042695.5
0.05252392088495695,-2271688249285089.0
0.05302392088495695,-2271334317562964.5
0.05352392088495695,-2270984730030511.0
0.05402392088495695,-2270639393072223.0
0.05452392088495695,-2270298216167243.5
0.05502392088495695,-2269961111731376.5
0.05552392088495695,-2269627994998917.5
0.05602392088495695,-2269298783877213.5
0.05652392088495695,-2268973398841822.0
0.057023920884956954,-2268651762809508.0
0.057523920884956954,-2268333801041402.5
0.058023920884956955,-2268019441024867.0
0.058523920884956955,-2267708612399148.0
0.059023920884956955,-2267401246835501.5
0.059523920884956956,-2267097277977346.0
0.060023920884956956,-2266796641336005.0
0.06052392088495696,-2266499274230339.5
0.06102392088495696,-2266205115694232.5
0.06152392088495696,-2265914106425750.5
0.06202392088495696,-2265626188701881.0
0.06252392088495695,-2265341306333530.0
0.06302392088495695,-2265059404583633.5
0.06352392088495695,-2264780430131309.5
0.06402392088495695,-2264504330998358.5
0.06452392088495695,-2264231056517250.0
0.06502392088495695,-2263960557261229.5
0.06552392088495695,-2263692785017363.0
0.06602392088495695,-2263427692722910.5
0.06652392088495696,-2263165234441566.5
0.06702392088495696,-2262905365307944.5
0.06752392088495696,-2262648041501075.0
0.06802392088495696,-2262393220196053.0
0.06852392088495696,-2262140859541877.5
0.06902392088495696,-2261890918615190.5
0.06952392088495696,-2261643357400620.5
0.07002392088495696,-2261398136752192.0
0.07052392088495696,-2261155218372090.0
0.07102392088495696,-2260914564769011.0
0.07152392088495696,-2260676139254610.0
0.07202392088495696,-2260439905890262.5
0.07252392088495696,-2260205829491952.0
0.07302392088495696,-2259973875583999.0
0.07352392088495696,-2259744010394990.0
0.07402392088495696,-2259516200820389.0
0.07452392088495696,-2259290414418270.5
0.07502392088495696,-2259066619375639.0
0.07552392088495696,-2258844784503878.5
0.07602392088495696,-2258624879205705.5
0.07652392088495696,-2258406873475188.0
0.07702392088495696,-2258190737864250.5
0.07752392088495696,-2257976443486140.0
0.07802392088495697,-2257763961981687.0
0.07852392088495697,-2257553265523375.0
0.07902392088495697,-2257344326781308.5
0.07952392088495697,-2257137118929422.5
0.08002392088495697,-2256931615616958.5
0.08052392088495697,-2256727790970368.0
0.08102392088495697,-2256525619567698.5
0.08152392088495697,-2256325076440203.0
0.08202392088495697,-2256126137049924.5
0.08252392088495697,-2255928777287792.0
0.08302392088495697,-2255732973458985.0
0.08352392088495697,-2255538702280554.5
0.08402392088495697,-2255345940856741.0
0.08452392088495697,-2255154666690632.0
0.08502392088495697,-2254964857650538.5
0.08552392088495697,-2254776491987301.5
0.08602392088495697,-2254589548305157.0
0.08652392088495697,-2254404005569128.5
0.08702392088495697,-2254219843083545.0
0.08752392088495697,-2254037040500352.5
0.08802392088495697,-2253855577795986.0
0.08852392088495697,-2253675435280945.0
0.08902392088495698,-2253496593573610.0
0.08952392088495698,-2253319033613639.5
0.09002392088495698,-2253142736637424.0
0.09052392088495698,-2252967684190655.0
0.09102392088495698,-2252793858103793.5
0.09152392088495698,-2252621240504159.0
0.09202392088495698,-2252449813791201.5
0.09252392088495698,-2252279560649778.5
0.09302392088495698,-2252110464028590.5
0.09352392088495698,-2251942507150128.0
0.09402392088495698,-2251775673492102.8
0.09452392088495698,-2251609946795584.2
0.09502392088495698,-2251445311046611.2
0.09552392088495698,-2251281750483031.5
0.09602392088495698,-2251119249583012.2
0.09652392088495698,-2250957793066924.5
0.09702392088495698,-2250797365881656.5
0.09752392088495698,-2250637953213076.0
0.09802392088495698,-2250479540461881.5
0.09852392088495698,-2250322113261818.5
0.09902392088495698,-2250165657457850.0
0.09952392088495698,-2250010159114263.8
0.1,-2249862956507672.8
