t(s),solute flux surface 1 (H m-2 s-1)
1e-06,-1161147651711.905
2.1000000000000002e-06,-34148468145469.965
3.3100000000000005e-06,-53420540858539.58
4.641000000000001e-06,-68996820610027.6
6.105100000000001e-06,-82937216680088.52
7.715610000000002e-06,-96025441787866.94
9.487171000000002e-06,-108657691739913.06
1.1435888100000002e-05,-121070004414201.39
1.3579476910000003e-05,-133419487153368.73
1.5937424601000003e-05,-145819708500977.94
1.8531167061100006e-05,-158358304894888.84
2.1384283767210007e-05,-171106618887151.84
2.452271214393101e-05,-184125374532801.62
2.7974983358324114e-05,-197468219221892.9
3.177248169415653e-05,-211184042800790.16
3.5949729863572185e-05,-225318559790879.53
4.0544702849929404e-05,-239915428763220.56
4.559917313492235e-05,-255017070870623.94
5.115909044841459e-05,-270665287171108.84
5.727499949325605e-05,-286901738147028.0
6.400249944258165e-05,-303768326989278.75
7.140274938683982e-05,-321307514629126.9
7.954302432552381e-05,-339562585805140.25
8.84973267580762e-05,-358577879748900.75
9.834705943388383e-05,-383574647097540.56
0.00010918176537727222,-7.723274995813608e+17
0.00012109994191499945,-2.294660407054053e+19
0.0001342099361064994,-2.3740827627019128e+20
0.00014863092971714937,-1.313773965949805e+21
0.00016449402268886432,-4.246019457665415e+21
0.00018194342495775077,-9.643064829736408e+21
0.00020113776745352586,-1.0507238871081138e+22
0.00022225154419887848,-1.1315145323311794e+22
0.00024547669861876636,-1.1157926676127887e+22
0.00027047669861876637,-1.0130785581914932e+22
0.0002954766986187664,-8.683624926793525e+21
0.0003204766986187664,-7.13987961169835e+21
0.0003454766986187664,-5.693861085959753e+21
0.0003704766986187664,-4.4394013850970174e+21
0.0003954766986187664,-3.4046216744889447e+21
0.00042047669861876644,-2.5804442527372133e+21
0.00044547669861876645,-1.9402291892379423e+21
0.00047047669861876646,-1.4517695325871048e+21
0.0004954766986187665,-1.0837997655801226e+21
0.0005204766986187664,-8.089826238670037e+20
0.0005454766986187664,-6.04842692867111e+20
0.0005704766986187663,-4.536267041515754e+20
0.0005954766986187663,-3.41689376622828e+20
0.0006204766986187663,-2.5874034191174972e+20
0.0006454766986187662,-1.9712076428449232e+20
0.0006704766986187662,-1.511806531720134e+20
0.0006954766986187661,-1.1677514546821974e+20
0.0007204766986187661,-9.087274059091635e+19
0.000745476698618766,-7.125849288594558e+19
0.000770476698618766,-5.63131300895957e+19
0.000795476698618766,-4.4850663379276095e+19
0.0008204766986187659,-3.599995824322757e+19
0.0008454766986187659,-2.9118796392244912e+19
0.0008704766986187658,-2.3731681194562077e+19
0.0008954766986187658,-1.948486554272199e+19
0.0009204766986187657,-1.6113815222303877e+19
0.0009454766986187657,-1.3419629974287464e+19
0.0009704766986187657,-1.1251912586520068e+19
0.0009954766986187656,-9.49628232581271e+18
0.0010204766986187657,-8.065239083999159e+18
0.0010454766986187657,-6.891450888549207e+18
0.0010704766986187658,-5.922799537421062e+18
0.0010954766986187659,-5.118706342765387e+18
0.001120476698618766,-4.4473936734017644e+18
0.001145476698618766,-3.8838335462381204e+18
0.001170476698618766,-3.408202932723617e+18
0.0011954766986187661,-3.004714541231913e+18
0.0012204766986187662,-2.6607222741990595e+18
0.0012454766986187663,-2.3660614435916744e+18
0.0012704766986187663,-2.1124928205202532e+18
0.0012954766986187664,-1.893321513286205e+18
0.0013204766986187665,-1.7030769157429663e+18
0.0013454766986187665,-1.537267505034115e+18
0.0013704766986187666,-1.3921885801799816e+18
0.0013954766986187667,-1.26477072530513e+18
0.0014204766986187667,-1.152459804998854e+18
0.0014454766986187668,-1.0531214917856351e+18
0.0014704766986187669,-9.649649668767718e+17
0.001495476698618767,-8.864816746388426e+17
0.001520476698618767,-8.163959490602184e+17
0.001545476698618767,-7.536250435529347e+17
0.0015704766986187671,-6.972466403468467e+17
0.0015954766986187672,-6.464723347123539e+17
0.0016204766986187673,-6.006259108589957e+17
0.0016454766986187673,-5.591254761155383e+17
0.0016704766986187674,-5.2146871427641254e+17
0.0016954766986187675,-4.8722066941634195e+17
0.0017204766986187675,-4.560035908898196e+17
0.0017454766986187676,-4.274884629206386e+17
0.0017704766986187676,-4.013879159240857e+17
0.0017954766986187677,-3.7745027511271936e+17
0.0018204766986187678,-3.55454548228627e+17
0.0018454766986187678,-3.352061913215666e+17
0.001870476698618768,-3.1653352123670995e+17
0.001895476698618768,-2.9928466719875686e+17
0.001920476698618768,-2.833249732238382e+17
0.001945476698618768,-2.6853477862081203e+17
0.001970476698618768,-2.5480751652348048e+17
0.001995476698618768,-2.4204808060337398e+17
0.0020204766986187677,-2.3017141865266982e+17
0.002047976698618768,-2.1804980237686182e+17
0.0020782266986187677,-2.0574711660000774e+17
0.002111501698618768,-1.933343488074542e+17
0.0021481041986187678,-1.8088785235253203e+17
0.002188366948618768,-1.6848781331673766e+17
0.002232655973618768,-1.5621649114247155e+17
0.0022813739011187683,-1.441562576705807e+17
0.0023349636213687683,-1.3238751222779608e+17
0.0023939123136437683,-1.2098657021081637e+17
0.0024587558751462684,-1.100236327690382e+17
0.0025300837927990185,-9.956094631977416e+16
0.0026085445022170435,-8.965125276693547e+16
0.002694851282576871,-8.03366142976805e+16
0.0027897887409726813,-7.164767215907556e+16
0.002894219945208073,-6.360336952146868e+16
0.0030090942698670032,-5.621113666824251e+16
0.0031354560269918267,-4.946750632830837e+16
0.003274453959829133,-4.335910026459547e+16
0.0034273516859501694,-3.78639078467438e+16
0.0035955391846833095,-3.29527646275886e+16
0.0037805454332897636,-2.859093481489295e+16
0.003984052306756863,-2.4739705282972196e+16
0.0042079098675706725,-2.1357909481977484e+16
0.004454153184465863,-1.8403315583662452e+16
0.004725020833050573,-1.583383188039647e+16
0.005022975246493754,-1.3608502165987648e+16
0.005350725101281253,-1.1688281796731078e+16
0.005711249941547502,-1.0036600590354308e+16
0.006107827265840376,-8619730322688025.0
0.006544062322562537,-7406982205074387.0
0.0070239208849569145,-6370763741847411.0
0.007523920884956915,-5525944941938470.0
0.008023920884956915,-4853992838239055.0
0.008523920884956916,-4310412571650894.5
0.009023920884956916,-3864102496971337.0
0.009523920884956917,-3492824464240022.5
0.010023920884956917,-3180351336142181.0
0.010523920884956918,-2914624907366260.5
0.011023920884956918,-2686537171439493.0
0.011523920884956919,-2489106182633330.5
0.012023920884956919,-2316907609572014.5
0.01252392088495692,-2165675531241839.2
0.01302392088495692,-2032017440698018.2
0.01352392088495692,-1913207695982053.2
0.01402392088495692,-1807035739629003.8
0.014523920884956921,-1711693130372496.5
0.015023920884956922,-1625688465722924.5
0.015523920884956922,-1547782603531749.0
0.01602392088495692,-1476938835506012.0
0.01652392088495692,-1412284196577034.0
0.01702392088495692,-1353079154399754.5
0.017523920884956922,-1298693667061162.8
0.018023920884956923,-1248588122374567.8
0.018523920884956923,-1202298054126010.2
0.019023920884956923,-1159421801383928.0
0.019523920884956924,-1119610479649219.5
0.020023920884956924,-1082559781586082.5
0.020523920884956925,-1048003234072933.1
0.021023920884956925,-1015706622623937.1
0.021523920884956926,-985463357611999.5
0.022023920884956926,-957090603719910.1
0.022523920884956927,-930426032220129.9
0.023023920884956927,-905325083266944.5
0.023523920884956927,-881658648694174.8
0.024023920884956928,-859311102591565.0
0.02452392088495693,-838178621129808.1
0.02502392088495693,-818167743680616.9
0.02552392088495693,-799194136469621.4
0.02602392088495693,-781181526391935.4
0.02652392088495693,-764060778833804.1
0.02702392088495693,-747769097380098.8
0.02752392088495693,-732249327431335.1
0.02802392088495693,-717449348245422.6
0.028523920884956932,-703321540940987.1
0.029023920884956932,-689822321652664.0
0.029523920884956933,-676911730691132.1
0.030023920884956933,-664553070380128.8
0.030523920884956934,-652712584788111.1
0.031023920884956934,-641359175943698.4
0.03152392088495693,-630464151953516.5
0.03202392088495693,-620001002635884.8
0.03252392088495693,-609945199677937.9
0.03302392088495693,-600274017934376.1
0.03352392088495693,-590966375525841.1
0.03402392088495693,-582002690339837.5
0.034523920884956934,-573364751191364.1
0.035023920884956934,-565035601794948.5
0.035523920884956935,-556999436207456.4
0.036023920884956935,-549241504349990.56
0.036523920884956936,-541748026608334.4
0.037023920884956936,-534506116444190.94
0.037523920884956936,-527503710188314.7
0.03802392088495694,-520729503278920.8
0.03852392088495694,-514172892208095.44
0.03902392088495694,-507823921702276.75
0.03952392088495694,-501673236454437.44
0.04002392088495694,-495712037125959.4
0.04052392088495694,-489932040037949.3
0.04102392088495694,-484325440282260.8
0.04152392088495694,-478884877981349.44
0.04202392088495694,-473603407179625.44
0.04252392088495694,-468474467394212.75
0.04302392088495694,-463491857371981.94
0.04352392088495694,-458649710976011.06
0.04402392088495694,-453942474913477.1
0.04452392088495694,-449364888253637.4
0.04502392088495694,-444911963431394.44
0.045523920884956944,-440578968769943.75
0.046023920884956944,-436361412262380.4
0.046523920884956944,-432255026561958.3
0.047023920884956945,-428255755084667.2
0.047523920884956945,-424359739116770.9
0.048023920884956946,-420563305808285.3
0.048523920884956946,-416862957101273.4
0.04902392088495695,-413255359336241.25
0.04952392088495695,-409737333659426.9
0.05002392088495695,-406305847036219.94
0.05052392088495695,-402958003918244.3
0.05102392088495695,-399691038433163.25
0.05152392088495695,-396502307129299.7
0.05202392088495695,-393389282172147.06
0.05252392088495695,-390349545008919.06
0.05302392088495695,-387380780422957.06
0.05352392088495695,-384480770991161.06
0.05402392088495695,-381647391878798.56
0.05452392088495695,-378878605952782.2
0.05502392088495695,-376172459228764.3
0.05552392088495695,-373527076588804.0
0.05602392088495695,-370940657729687.56
0.05652392088495695,-368411473415059.25
0.057023920884956954,-365937861897583.25
0.057523920884956954,-363518225594710.2
0.058023920884956955,-361151027938885.8
0.058523920884956955,-358834790416785.7
0.059023920884956955,-356568089777594.9
0.059523920884956956,-354349555414856.9
0.060023920884956956,-352177866880363.1
0.06052392088495696,-350051751555750.6
0.06102392088495696,-347969982432957.3
0.06152392088495696,-345931376038935.25
0.06202392088495696,-343934790464989.1
0.06252392088495695,-341979123504657.25
0.06302392088495695,-340063310881306.7
0.06352392088495695,-338186324600183.6
0.06402392088495695,-336347171352349.1
0.06452392088495695,-334544891034382.6
0.06502392088495695,-332778555315739.06
0.06552392088495695,-331047266309088.56
0.06602392088495695,-329350155283995.44
0.06652392088495696,-327686381468513.2
0.06702392088495696,-326055130883696.7
0.06752392088495696,-324455615272560.5
0.06802392088495696,-322887071047114.06
0.06852392088495696,-321348758311402.75
0.06902392088495696,-319839959919378.5
0.06952392088495696,-318359980579910.9
0.07002392088495696,-316908146013596.94
0.07052392088495696,-315483802137670.0
0.07102392088495696,-314086314296922.75
0.07152392088495696,-312715066531353.94
0.07202392088495696,-311369460868952.7
0.07252392088495696,-310048916660126.5
0.07302392088495696,-308752869942288.4
0.07352392088495696,-307480772825421.2
0.07402392088495696,-306232092915617.5
0.07452392088495696,-305006312750423.56
0.07502392088495696,-303802929275003.2
0.07552392088495696,-302621453333474.1
0.07602392088495696,-301461409175874.0
0.07652392088495696,-300322334003234.0
0.07702392088495696,-299203777509164.06
0.07752392088495696,-298105301465354.94
0.07802392088495697,-297026479306616.1
0.07852392088495697,-295966895739327.8
0.07902392088495697,-294926146368340.2
0.07952392088495697,-293903837335229.25
0.08002392088495697,-292899584973997.0
0.08052392088495697,-291913015477974.94
0.08102392088495697,-290943764584887.2
0.08152392088495697,-289991477265853.06
0.08202392088495697,-289055807436273.0
0.08252392088495697,-288136417674160.5
0.08302392088495697,-287232978947437.94
0.08352392088495697,-286345170353063.7
0.08402392088495697,-285472678865612.8
0.08452392088495697,-284615199099606.8
0.08502392088495697,-283772433073200.9
0.08552392088495697,-282944089989352.9
0.08602392088495697,-282129886015916.94
0.08652392088495697,-281329544081801.56
0.08702392088495697,-280542793674447.7
0.08752392088495697,-279769370652703.16
0.08802392088495697,-279009017055026.0
0.08852392088495697,-278261480925711.8
0.08902392088495698,-277526516138035.7
0.08952392088495698,-276803882230751.94
0.09002392088495698,-276093344248537.53
0.09052392088495698,-275394672582178.47
0.09102392088495698,-274707642825229.12
0.09152392088495698,-274032035624575.22
0.09202392088495698,-273367636543449.03
0.09252392088495698,-272714235922801.97
0.09302392088495698,-272071628756878.03
0.09352392088495698,-271439614562363.9
0.09402392088495698,-270817997259068.53
0.09452392088495698,-270206585049315.28
0.09502392088495698,-269605190308326.7
0.09552392088495698,-269013629468511.0
0.09602392088495698,-268431722917397.78
0.09652392088495698,-267859294890490.0
0.09702392088495698,-267296173376391.47
0.09752392088495698,-266742190013099.4
0.09802392088495698,-266197179999192.97
0.09852392088495698,-265660982001574.38
0.09902392088495698,-265133438066242.6
0.09952392088495698,-264614393534678.12
0.1,-264127776412590.84
