t(s),solute flux surface 1 (H m-2 s-1)
1e-06,-1161147651711.905
2.1000000000000002e-06,-34148468145469.965
3.3100000000000005e-06,-53420540858539.58
4.641000000000001e-06,-68996820610027.6
6.105100000000001e-06,-82937216680088.52
7.715610000000002e-06,-96025441787866.94
9.487171000000002e-06,-108657691739913.06
1.1435888100000002e-05,-121070004414201.39
1.3579476910000003e-05,-133419487153368.73
1.5937424601000003e-05,-145819708500977.94
1.8531167061100006e-05,-158358304894888.84
2.1384283767210007e-05,-171106618887151.84
2.452271214393101e-05,-184125374532801.62
2.7974983358324114e-05,-197468219221892.9
3.177248169415653e-05,-211184042800790.16
3.5949729863572185e-05,-225318559790879.53
4.0544702849929404e-05,-239915428763220.56
4.559917313492235e-05,-255017070870623.94
5.115909044841459e-05,-270665287171108.84
5.727499949325605e-05,-286901738147028.0
6.400249944258165e-05,-303768326989278.75
7.140274938683982e-05,-321307514629126.9
7.954302432552381e-05,-339562585805140.25
8.84973267580762e-05,-358577879748899.6
9.834705943388383e-05,-379231443509327.0
0.00010918176537727222,-982206092697407.0
0.00012109994191499945,-2150941782051229.0
0.0001342099361064994,-4290656335421335.0
0.00014863092971714937,-8013141631298453.0
0.00016449402268886432,-1.4294085401807282e+16
0.00018194342495775077,-2.4692131556587656e+16
0.00020113776745352586,-4.1699495427485944e+16
0.00022225154419887848,-6.924070981281065e+16
0.00024547669861876636,-1.1362234830696779e+17
0.00027047669861876637,-1.8303125933576752e+17
0.0002954766986187664,-2.8130388323786848e+17
0.0003204766986187664,-4.16730700458725e+17
0.0003454766986187664,-5.991070639016456e+17
0.0003704766986187664,-8.399260624186968e+17
0.0003954766986187664,-1.1524995188416814e+18
0.00042047669861876644,-1.5521024748224095e+18
0.00044547669861876645,-2.0560881412136594e+18
0.00047047669861876646,-2.6839721254170414e+18
0.0004954766986187665,-3.457472752611586e+18
0.0005204766986187664,-4.4004913775256566e+18
0.0005454766986187664,-5.539013665563831e+18
0.0005704766986187663,-6.900910389348841e+18
0.0005954766986187663,-8.515615020667355e+18
0.0006204766986187663,-1.0413656253810776e+19
0.0006454766986187662,-1.2626027752358656e+19
0.0006704766986187662,-1.518338613655433e+19
0.0006954766986187661,-1.8115082597927772e+19
0.0007204766986187661,-2.144805399173683e+19
0.000745476698618766,-2.5205625067096752e+19
0.000770476698618766,-2.9406302117731844e+19
0.000795476698618766,-3.40626651546605e+19
0.0008204766986187659,-3.918048425573946e+19
0.0008454766986187659,-4.4758188736492634e+19
0.0008704766986187658,-5.0786799171920675e+19
0.0008954766986187658,-5.7250389587212345e+19
0.0009204766986187657,-6.412708365671541e+19
0.0009454766986187657,-7.139051429957989e+19
0.0009704766986187657,-7.901160524387477e+19
0.0009954766986187656,-8.696048213133448e+19
0.0010204766986187657,-9.231049482302964e+19
0.0010454766986187657,-9.12827503754204e+19
0.0010704766986187658,-8.644042182845455e+19
0.0010954766986187659,-7.949056087100794e+19
0.001120476698618766,-7.164481336109573e+19
0.001145476698618766,-6.369382806505988e+19
0.001170476698618766,-5.610808097907703e+19
0.0011954766986187661,-4.9135368430212375e+19
0.0012204766986187662,-4.28790485523732e+19
0.0012454766986187663,-3.735464307070162e+19
0.0012704766986187663,-3.2528114288312607e+19
0.0012954766986187664,-2.8340459026904474e+19
0.0013204766986187665,-2.4722796380980605e+19
0.0013454766986187665,-2.1605162960037302e+19
0.0013704766986187666,-1.892129598817489e+19
0.0013954766986187667,-1.6610943782675362e+19
0.0014204766986187667,-1.462070734191388e+19
0.0014454766986187668,-1.290404956434641e+19
0.0014704766986187669,-1.1420865575348718e+19
0.001495476698618767,-1.013685084693758e+19
0.001520476698618767,-9.022804712815019e+18
0.001545476698618767,-8.053945484745787e+18
0.0015704766986187671,-7.209276107295222e+18
0.0015954766986187672,-6.471017240209352e+18
0.0016204766986187673,-5.824112057483609e+18
0.0016454766986187673,-5.25580022764908e+18
0.0016704766986187674,-4.755255178523309e+18
0.0016954766986187675,-4.3132774089624847e+18
0.0017204766986187675,-3.9220364049304996e+18
0.0017454766986187676,-3.574854113974848e+18
0.0017704766986187676,-3.266023610174286e+18
0.0017954766986187677,-2.990657360098324e+18
0.0018204766986187678,-2.744560275277762e+18
0.0018454766986187678,-2.5241234595406464e+18
0.001870476698618768,-2.3262352034402826e+18
0.001895476698618768,-2.1482063403884052e+18
0.001920476698618768,-1.9877054517516524e+18
0.001945476698618768,-1.8427155793304927e+18
0.001970476698618768,-1.7114747333287788e+18
0.001995476698618768,-1.5924478777994583e+18
0.0020204766986187677,-1.4842939039052426e+18
0.002047976698618768,-1.3768198148648307e+18
0.0020782266986187677,-1.270790545494887e+18
0.002111501698618768,-1.1669742855291653e+18
0.0021481041986187678,-1.0661187587043834e+18
0.002188366948618768,-9.689280444840308e+17
0.002232655973618768,-8.760404480135905e+17
0.0022813739011187683,-7.88008594255059e+17
0.0023349636213687683,-7.052829978782852e+17
0.0023939123136437683,-6.282002098021216e+17
0.0024587558751462684,-5.569763369481308e+17
0.0025300837927990185,-4.917063201197743e+17
0.0026085445022170435,-4.323688858612712e+17
0.002694851282576871,-3.7883662110241645e+17
0.0027897887409726813,-3.3089021224487034e+17
0.002894219945208073,-2.88235595762656e+17
0.0030090942698670032,-2.505226187141964e+17
0.0031354560269918267,-2.1736381857236413e+17
0.003274453959829133,-1.8835208865647354e+17
0.0034273516859501694,-1.630762656883411e+17
0.0035955391846833095,-1.4113400992558059e+17
0.0037805454332897636,-1.221416936430721e+17
0.003984052306756863,-1.0574132333751214e+17
0.0042079098675706725,-9.160476154830288e+16
0.004454153184465863,-7.943566996647042e+16
0.004725020833050573,-6.89696674960628e+16
0.005022975246493754,-5.997319830929223e+16
0.005350725101281253,-5.224155575121511e+16
0.005711249941547502,-4.559642981828139e+16
0.006107827265840376,-3.98832573885685e+16
0.006544062322562537,-3.4968570267013896e+16
0.0070239208849569145,-3.0737464517154464e+16
0.007523920884956915,-2.7251775453124916e+16
0.008023920884956915,-2.44472477376648e+16
0.008523920884956916,-2.215274650223048e+16
0.009023920884956916,-2.0247547895842524e+16
0.009523920884956917,-1.864481240291826e+16
0.010023920884956917,-1.728086551008184e+16
0.010523920884956918,-1.6108174660759422e+16
0.011023920884956918,-1.5090668100635432e+16
0.011523920884956919,-1.42005567282672e+16
0.012023920884956919,-1.3416136877529004e+16
0.01252392088495692,-1.2720244708765126e+16
0.01302392088495692,-1.20991510850745e+16
0.01352392088495692,-1.1541759267317658e+16
0.01402392088495692,-1.1039014144782496e+16
0.014523920884956921,-1.0583461487195642e+16
0.015023920884956922,-1.0168915093677168e+16
0.015523920884956922,-9790202574466904.0
0.01602392088495692,-9442969151131426.0
0.01652392088495692,-9123524749514672.0
0.01702392088495692,-8828723752015667.0
0.017523920884956922,-8555869630788799.0
0.018023920884956923,-8302638712666175.0
0.018523920884956923,-8067018787720109.0
0.019023920884956923,-7847259323916634.0
0.019523920884956924,-7641830832775853.0
0.020023920884956924,-7449391497636210.0
0.020523920884956925,-7268759607725336.0
0.021023920884956925,-7098890663014726.0
0.021523920884956926,-6938858260704485.0
0.022023920884956926,-6787838057960722.0
0.022523920884956927,-6645094255624091.0
0.023023920884956927,-6509968153822133.0
0.023523920884956927,-6381868422977368.0
0.024023920884956928,-6260262798399475.0
0.02452392088495693,-6144670963950866.0
0.02502392088495693,-6034658431683490.0
0.02552392088495693,-5929831259777640.0
0.02602392088495693,-5829831479474916.0
0.02652392088495693,-5734333121841110.0
0.02702392088495693,-5643038756341601.0
0.02752392088495693,-5555676465508195.0
0.02802392088495693,-5471997194092443.0
0.028523920884956932,-5391772419348575.0
0.029023920884956932,-5314792098764616.0
0.029523920884956933,-5240862857199258.0
0.030023920884956933,-5169806382053457.0
0.030523920884956934,-5101457998908189.0
0.031023920884956934,-5035665404574800.0
0.03152392088495693,-4972287538280440.0
0.03202392088495693,-4911193572880648.0
0.03252392088495693,-4852262012060866.0
0.03302392088495693,-4795379881113041.0
0.03352392088495693,-4740441999366579.0
0.03402392088495693,-4687350325704421.0
0.034523920884956934,-4636013368329557.0
0.035023920884956934,-4586345651429968.0
0.035523920884956935,-4538267232983041.0
0.036023920884956935,-4491703267699868.0
0.036523920884956936,-4446583610202418.0
0.037023920884956936,-4402842454643393.0
0.037523920884956936,-4360418006500412.0
0.03802392088495694,-4319252183328567.5
0.03852392088495694,-4279290341890300.0
0.03902392088495694,-4240481028491743.0
0.03952392088495694,-4202775750709323.0
0.04002392088495694,-4166128767995453.5
0.04052392088495694,-4130496899939686.5
0.04102392088495694,-4095839349803763.5
0.04152392088495694,-4062117542418527.0
0.04202392088495694,-4029294975103851.5
0.04252392088495694,-3997337080073989.0
0.04302392088495694,-3966211097660387.5
0.04352392088495694,-3935885959157229.0
0.04402392088495694,-3906332178604067.5
0.04452392088495694,-3877521752666890.0
0.04502392088495694,-3849428067915420.0
0.045523920884956944,-3822025814885920.0
0.046023920884956944,-3795290908366434.5
0.046523920884956944,-3769200413422329.0
0.047023920884956945,-3743732476570116.0
0.047523920884956945,-3718866261851479.0
0.048023920884956946,-3694581891371389.5
0.048523920884956946,-3670860389815514.5
0.04902392088495695,-3647683632817624.0
0.04952392088495695,-3625034298762943.0
0.05002392088495695,-3602895823795699.0
0.05052392088495695,-3581252359888260.5
0.05102392088495695,-3560088735469266.5
0.05152392088495695,-3539390418742198.0
0.05202392088495695,-3519143483373067.0
0.05252392088495695,-3499334576178713.5
0.05302392088495695,-3479950887101731.5
0.05352392088495695,-3460980120819715.0
0.05402392088495695,-3442410470242644.0
0.05452392088495695,-3424230591632131.5
0.05502392088495695,-3406429581185290.0
0.05552392088495695,-3388996953003619.5
0.05602392088495695,-3371922618490882.5
0.05652392088495695,-3355196866801741.0
0.057023920884956954,-3338810346598635.0
0.057523920884956954,-3322754048757588.0
0.058023920884956955,-3307019290132016.0
0.058523920884956955,-3291597698200720.5
0.059023920884956955,-3276481196587110.0
0.059523920884956956,-3261661991477129.5
0.060023920884956956,-3247132558647068.0
0.06052392088495696,-3232885631332896.0
0.06102392088495696,-3218914188692990.0
0.06152392088495696,-3205211444928057.0
0.06202392088495696,-3191770838984429.0
0.06252392088495695,-3178586024781747.0
0.06302392088495695,-3165650861998621.5
0.06352392088495695,-3152959407317112.5
0.06402392088495695,-3140505906106823.5
0.06452392088495695,-3128284784584459.0
0.06502392088495695,-3116290642327604.0
0.06552392088495695,-3104518245208206.0
0.06602392088495695,-3092962518634072.0
0.06652392088495696,-3081618541188808.0
0.06702392088495696,-3070481538536844.0
0.06752392088495696,-3059546877651802.5
0.06802392088495696,-3048810061314555.0
0.06852392088495696,-3038266722885385.0
0.06902392088495696,-3027912621316666.5
0.06952392088495696,-3017743636410850.5
0.07002392088495696,-3007755764309971.0
0.07052392088495696,-2997945113171907.5
0.07102392088495696,-2988307899071093.0
0.07152392088495696,-2978840442063304.0
0.07202392088495696,-2969539162465433.5
0.07252392088495696,-2960400577231443.5
0.07302392088495696,-2951421296595277.0
0.07352392088495696,-2942598020792976.0
0.07402392088495696,-2933927536913472.5
0.07452392088495696,-2925406715948584.0
0.07502392088495696,-2917032509925253.0
0.07552392088495696,-2908801949170650.5
0.07602392088495696,-2900712139704874.0
0.07652392088495696,-2892760260733353.0
0.07702392088495696,-2884943562251512.5
0.07752392088495696,-2877259362714368.5
0.07802392088495697,-2869705046878372.5
0.07852392088495697,-2862278063649964.5
0.07902392088495697,-2854975924067441.0
0.07952392088495697,-2847796199345742.5
0.08002392088495697,-2840736519006522.5
0.08052392088495697,-2833794569083451.0
0.08102392088495697,-2826968090384698.5
0.08152392088495697,-2820254876846770.5
0.08202392088495697,-2813652773919550.5
0.08252392088495697,-2807159677046630.0
0.08302392088495697,-2800773530186193.5
0.08352392088495697,-2794492324374253.5
0.08402392088495697,-2788314096354460.5
0.08452392088495697,-2782236927287795.5
0.08502392088495697,-2776258941434324.0
0.08552392088495697,-2770378304973479.0
0.08602392088495697,-2764593224790135.0
0.08652392088495697,-2758901947357202.0
0.08702392088495697,-2753302757615186.0
0.08752392088495697,-2747793977942510.0
0.08802392088495697,-2742373967097831.5
0.08852392088495697,-2737041119267374.0
0.08902392088495698,-2731793863073236.5
0.08952392088495698,-2726630660684512.0
0.09002392088495698,-2721550006904541.0
0.09052392088495698,-2716550428318725.0
0.09102392088495698,-2711630482468833.5
0.09152392088495698,-2706788757031861.5
0.09202392088495698,-2702023869055210.5
0.09252392088495698,-2697334464197439.0
0.09302392088495698,-2692719216004399.5
0.09352392088495698,-2688176825196676.0
0.09402392088495698,-2683706018986426.5
0.09452392088495698,-2679305550416404.0
0.09502392088495698,-2674974197736902.5
0.09552392088495698,-2670710763751679.0
0.09602392088495698,-2666514075232413.5
0.09652392088495698,-2662382982343666.0
0.09702392088495698,-2658316358063442.5
0.09752392088495698,-2654313097632453.5
0.09802392088495698,-2650372118031990.5
0.09852392088495698,-2646492357462178.5
0.09902392088495698,-2642672774838185.0
0.09952392088495698,-2638912349307019.5
0.1,-2635384678240844.0
