E=0.739,Desorbed=40088032016315.55,ExportTimes=[0.001, 0.002, 0.0025, 0.005, 0.0075, 0.01, 0.025, 0.05, 0.1]
0.000000000000000000e+00,1.560985893040348044e+22
3.061224489795918210e-05,1.561139480898435023e+22
6.122448979591836420e-05,1.561591237213447992e+22
9.183673469387754629e-05,1.562314896601252889e+22
1.224489795918367284e-04,1.563269281888747074e+22
1.530612244897959105e-04,1.564401916777734550e+22
1.836734693877550926e-04,1.565653528791684533e+22
2.142857142857142747e-04,1.566962962019705160e+22
2.448979591836734568e-04,1.568271961361658937e+22
2.755102040816326389e-04,1.569529226887075516e+22
3.061224489795918210e-04,1.570693326916624895e+22
3.367346938775510031e-04,1.571734692420852384e+22
3.673469387755101852e-04,1.572637029773539593e+22
3.979591836734693673e-04,1.573397908238180863e+22
4.285714285714285494e-04,1.574027070473839732e+22
4.591836734693877315e-04,1.574537733768792873e+22
4.897959183673469136e-04,1.574938495182276919e+22
5.204081632653060957e-04,1.575238174242022988e+22
5.510204081632652778e-04,1.575451420276258610e+22
5.816326530612244599e-04,1.575596742645003164e+22
6.122448979591836420e-04,1.575692245830019003e+22
6.428571428571428241e-04,1.575753074715593697e+22
6.734693877551020062e-04,1.575790737280909653e+22
7.040816326530611883e-04,1.575813437228544793e+22
7.346938775510203704e-04,1.575826759141584745e+22
7.653061224489795525e-04,1.575834372098282121e+22
7.959183673469387345e-04,1.575838617439438058e+22
8.265306122448979166e-04,1.575840946585478365e+22
8.571428571428570987e-04,1.575842218227097666e+22
8.877551020408162808e-04,1.575842907663074171e+22
9.183673469387754629e-04,1.575843274031107775e+22
9.489795918367346450e-04,1.575843464992340836e+22
9.795918367346938271e-04,1.575843564465106085e+22
1.010204081632653118e-03,1.575843617434613108e+22
1.040816326530612191e-03,1.575843646756602511e+22
1.071428571428571265e-03,1.575843663788140764e+22
1.102040816326530556e-03,1.575843674203210383e+22
1.132653061224489846e-03,1.575843680903647724e+22
1.163265306122448920e-03,1.575843685423603568e+22
1.193877551020407993e-03,1.575843688605525056e+22
1.224489795918367284e-03,1.575843690930926046e+22
1.255102040816326574e-03,1.575843692685985160e+22
1.285714285714285648e-03,1.575843694047395211e+22
1.316326530612244722e-03,1.575843695128181788e+22
1.346938775510204012e-03,1.575843696003017762e+22
1.377551020408163303e-03,1.575843696722797868e+22
1.408163265306122377e-03,1.575843697323081413e+22
1.438775510204081450e-03,1.575843697829388222e+22
1.469387755102040741e-03,1.575843698260393014e+22
1.500000000000000031e-03,1.575843698630043736e+22
